analysis,chr,gwaa_hit_bp,gene_start_bp,gene_end_bp,gene_id,gene_name,gene_biotype
"GxE meta-analysis, temperature",1,26125748,26116520,26265576,ENSBTAG00000009851,ROBO1,protein_coding
"GxE meta-analysis, day length",1,44779351,44751049,44847773,ENSBTAG00000013321,,protein_coding
"GxE meta-analysis, day length",1,45273347,45273441,45477104,ENSBTAG00000026836,,protein_coding
"GxE meta-analysis, day length",1,45302344,45273441,45477104,ENSBTAG00000026836,,protein_coding
"GxE meta-analysis, day length",1,45347550,45273441,45477104,ENSBTAG00000026836,,protein_coding
"GxE meta-analysis, day length",1,81122091,80873608,81097089,ENSBTAG00000005091,DGKG,protein_coding
"GxE meta-analysis, day length",1,81122091,81135305,81194599,ENSBTAG00000014915,ETV5,protein_coding
"GxE meta-analysis, day length",1,81149476,81135305,81194599,ENSBTAG00000014915,ETV5,protein_coding
"GxE meta-analysis, day length",1,81161131,81135305,81194599,ENSBTAG00000014915,ETV5,protein_coding
"GxE meta-analysis, day length",1,81168827,81135305,81194599,ENSBTAG00000014915,ETV5,protein_coding
"GxE meta-analysis, day length",1,81709705,81636267,81688516,ENSBTAG00000001535,LIPH,protein_coding
"GxE meta-analysis, day length",1,81709705,81661252,81661366,ENSBTAG00000029106,5S_rRNA,rRNA
"GxE meta-analysis, day length",1,81709705,81696499,81706039,ENSBTAG00000017115,TMEM41A,protein_coding
"GxE meta-analysis, day length",1,81709705,81711839,81868201,ENSBTAG00000017103,MAP3K13,protein_coding
"GxE meta-analysis, day length",1,134181495,134087026,134553600,ENSBTAG00000015377,EPHB1,protein_coding
"GxE meta-analysis, day length",1,144372951,144308711,144335975,ENSBTAG00000010658,PFKL,protein_coding
"GxE meta-analysis, day length",1,144372951,144341397,144352212,ENSBTAG00000019589,CFAP410,protein_coding
"GxE meta-analysis, day length",1,144372951,144361187,144410547,ENSBTAG00000021901,TRPM2,protein_coding
"GxE meta-analysis, day length",1,144372951,144408383,144408423,ENSBTAG00000046909,,snoRNA
"GxE meta-analysis, day length",1,144591120,144441578,144619108,ENSBTAG00000018607,TSPEAR,protein_coding
"GxE meta-analysis, day length",1,144591120,144560582,144561641,ENSBTAG00000040291,KRTAP10-8,protein_coding
"GxE meta-analysis, day length",1,144591120,144570008,144570913,ENSBTAG00000053056,,protein_coding
"GxE meta-analysis, day length",1,144591120,144579697,144580388,ENSBTAG00000018610,KRTAP12-2,protein_coding
"GxE meta-analysis, day length",1,144591120,144592731,144593216,ENSBTAG00000030862,,pseudogene
"GxE meta-analysis, day length",1,144591120,144597151,144597495,ENSBTAG00000051778,,protein_coding
"GxE meta-analysis, day length",1,144591120,144605123,144611696,ENSBTAG00000050038,,protein_coding
"GxE meta-analysis, day length",1,145051151,144937738,145050738,ENSBTAG00000017486,ADARB1,protein_coding
"GxE meta-analysis, day length",1,145051151,145089416,145103157,ENSBTAG00000007818,POFUT2,protein_coding
"GxE meta-analysis, day length",1,145182771,145195194,145197717,ENSBTAG00000050478,,lncRNA
"GxE meta-analysis, day length",1,145182771,145202138,145296595,ENSBTAG00000023907,COL18A1,protein_coding
"GxE meta-analysis, day length",1,146561306,146528127,146556177,ENSBTAG00000007039,FBXO25,protein_coding
"GxE meta-analysis, day length",1,146561306,146562507,146607459,ENSBTAG00000043957,TDRP,protein_coding
"GxE meta-analysis, day length",1,146608601,146562507,146607459,ENSBTAG00000043957,TDRP,protein_coding
"GxE meta-analysis, day length",1,146612774,146562507,146607459,ENSBTAG00000043957,TDRP,protein_coding
"GxE meta-analysis, day length",1,146625481,146562507,146607459,ENSBTAG00000043957,TDRP,protein_coding
"GxE meta-analysis, day length",1,146657395,146562507,146607459,ENSBTAG00000043957,TDRP,protein_coding
"GxE meta-analysis, day length",1,146561306,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146608601,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146612774,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146625481,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146657395,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146674084,146608203,146657899,ENSBTAG00000054155,,lncRNA
"GxE meta-analysis, day length",1,146657395,146703936,146704817,ENSBTAG00000052599,,protein_coding
"GxE meta-analysis, day length",1,146674084,146703936,146704817,ENSBTAG00000052599,,protein_coding
"GxE meta-analysis, day length",1,148999624,148952241,148953863,ENSBTAG00000053305,,lncRNA
"GxE meta-analysis, day length",1,148999624,148972847,149039609,ENSBTAG00000021447,SIM2,protein_coding
"GxE meta-analysis, day length",1,148999624,149031196,149199816,ENSBTAG00000033679,HLCS,protein_coding
"GxE meta-analysis, day length",1,149540280,149461702,149496009,ENSBTAG00000004791,VPS26C,protein_coding
"GxE meta-analysis, day length",1,149544637,149461702,149496009,ENSBTAG00000004791,VPS26C,protein_coding
"GxE meta-analysis, day length",1,149540280,149567810,149711585,ENSBTAG00000001771,DYRK1A,protein_coding
"GxE meta-analysis, day length",1,149544637,149567810,149711585,ENSBTAG00000001771,DYRK1A,protein_coding
"GxE meta-analysis, day length",1,149783681,149814196,150141048,ENSBTAG00000037616,KCNJ6,protein_coding
"Main effect, DEBVs",1,150548413,150539707,150541753,ENSBTAG00000053559,,lncRNA
"Main effect, DEBVs",1,150556656,150539707,150541753,ENSBTAG00000053559,,lncRNA
"Main effect, DEBVs",1,150548413,150591084,150595749,ENSBTAG00000000973,KCNJ15,protein_coding
"Main effect, DEBVs",1,150556656,150591084,150595749,ENSBTAG00000000973,KCNJ15,protein_coding
"Main effect, DEBVs",1,150616391,150591084,150595749,ENSBTAG00000000973,KCNJ15,protein_coding
"Main effect, meta-analysis",1,150616391,150591084,150595749,ENSBTAG00000000973,KCNJ15,protein_coding
"GxE meta-analysis, day length",1,153129916,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153135153,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153139588,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153145025,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153152865,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153155822,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153160424,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153161303,153179306,153226107,ENSBTAG00000008240,GALNT15,protein_coding
"GxE meta-analysis, day length",1,153976232,153882096,154095595,ENSBTAG00000009942,PLCL2,protein_coding
"GxE meta-analysis, day length",1,153976232,153955752,153955858,ENSBTAG00000054477,U6,snRNA
"Main effect, DEBVs",10,13678972,13717398,13756914,ENSBTAG00000049288,,lncRNA
"Main effect, meta-analysis",10,13678972,13717398,13756914,ENSBTAG00000049288,,lncRNA
"GxE meta-analysis, day length",10,35758680,35737731,35757288,ENSBTAG00000012180,BMF,protein_coding
"GxE meta-analysis, day length",10,35760653,35737731,35757288,ENSBTAG00000012180,BMF,protein_coding
"GxE meta-analysis, day length",10,35772779,35737731,35757288,ENSBTAG00000012180,BMF,protein_coding
"GxE meta-analysis, day length",10,35758680,35786200,35841256,ENSBTAG00000007237,BUB1B,protein_coding
"GxE meta-analysis, day length",10,35760653,35786200,35841256,ENSBTAG00000007237,BUB1B,protein_coding
"GxE meta-analysis, day length",10,35772779,35786200,35841256,ENSBTAG00000007237,BUB1B,protein_coding
"GxE meta-analysis, day length",10,35882541,35786200,35841256,ENSBTAG00000007237,BUB1B,protein_coding
